STATUS | wrapper  | 2016/09/14 12:06:15 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/09/14 12:06:16 | Launching a JVM...
INFO   | jvm 1    | 2016/09/14 12:06:19 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/09/14 12:06:19 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/09/14 12:06:19 | 
INFO   | jvm 1    | 2016/09/14 12:06:19 | 
INFO   | jvm 1    | 2016/09/14 12:06:19 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2016/09/14 12:06:19 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2016/09/14 12:06:19 |           could not be loaded:
INFO   | jvm 1    | 2016/09/14 12:06:19 |             E:\workspace\apache-activemq-5.5.0\bin\win32\..\..\bin\win32\wrapper.dll
INFO   | jvm 1    | 2016/09/14 12:06:19 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2016/09/14 12:06:19 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2016/09/14 12:06:19 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2016/09/14 12:06:19 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2016/09/14 12:06:19 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2016/09/14 12:06:19 |           Reported cause:
INFO   | jvm 1    | 2016/09/14 12:06:19 |             E:\workspace\apache-activemq-5.5.0\bin\win32\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2016/09/14 12:06:19 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2016/09/14 12:06:19 | 
INFO   | jvm 1    | 2016/09/14 12:06:19 | Java Runtime: Oracle Corporation 1.8.0_101 C:\Program Files\Java\jre1.8.0_101
INFO   | jvm 1    | 2016/09/14 12:06:19 |   Heap sizes: current=58880k  free=52684k  max=466432k
